City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,caspe,41.234,-0.0395,295.37,48,100,6.02,ES,1683313611
84,lihue,21.9789,-159.3672,298.73,69,40,7.2,US,1683313611
85,betheny,49.285,4.055,287.15,77,100,5.14,FR,1683313611
86,caiaponia,-16.9567,-51.8103,302.23,45,14,2.31,BR,1683313611
87,banaz,38.7371,29.7519,284.62,90,100,1.85,TR,1683313611
88,chibougamau,49.9168,-74.3659,288.94,36,75,1.03,CA,1683313508
89,muurame,62.1333,25.6667,275.46,71,23,1.45,FI,1683313612
90,kincardine,56.0667,-3.7167,286.79,86,100,2.81,GB,1683313612
91,blackmans bay,-43.0167,147.3167,278.0,81,49,3.09,AU,1683313612
92,thames,-37.1333,175.5333,290.76,89,100,2.54,NZ,1683313613
93,grand falls-windsor,48.9332,-55.6649,282.87,51,52,4.02,CA,1683313613
94,upata,8.0086,-62.3989,307.51,26,46,4.19,VE,1683313613
95,floro,61.5996,5.0328,284.39,43,0,5.66,NO,1683313614
96,papao,-17.75,-149.55,301.97,80,100,10.67,PF,1683313614
97,sao raimundo das mangabeiras,-7.0219,-45.4811,301.17,75,100,1.38,BR,1683313614
98,georgetown,5.4112,100.3354,302.11,84,20,0.0,MY,1683313615
99,taroa,8.7058,171.2275,300.45,81,27,7.79,MH,1683313615
100,safford,32.834,-109.7076,298.01,15,0,3.09,US,1683313615
101,quibdo,5.6947,-76.6611,305.97,62,100,1.77,CO,1683313615
102,guiuan,11.0333,125.7247,301.19,70,78,2.47,PH,1683313616
103,la passe,45.5549,-0.8967,293.28,76,100,2.81,FR,1683313616
104,macenta,8.5435,-9.471,299.21,67,100,1.39,GN,1683313616
105,akureyri,65.6835,-18.0878,284.3,68,100,0.7,IS,1683313616
106,nantucket,41.2835,-70.0995,286.23,78,100,7.2,US,1683313617
107,las khorey,11.1595,48.1967,304.23,69,99,1.49,SO,1683313617
108,lerwick,60.1545,-1.1494,281.15,79,100,12.62,GB,1683313617
109,erdenet,49.0333,104.0833,275.06,45,56,1.0,MN,1683313446
110,dudinka,69.4058,86.1778,263.77,95,100,3.65,RU,1683313618
111,potchefstroom,-26.7167,27.1,288.25,77,33,1.88,ZA,1683313618
112,mount pearl,47.5166,-52.7813,277.01,98,100,10.8,CA,1683313618
113,punta arenas,-53.15,-70.9167,282.21,76,100,16.98,CL,1683313618
